Date,x1,x2,y
1/1/19,51,5.55,65.58
1/2/19,51,8.95,65.35
1/3/19,43,7.033333333,69.8
1/4/19,43,7.033333333,69.76
1/5/19,53,4.95,70.48
1/6/19,52,6.1,70.37
1/7/19,50,7.883333333,64.62
1/8/19,50,5.7,64.9
1/9/19,64,4.15,64.23
1/10/19,53,5.433333333,61.47
1/11/19,54,7.1,64.16
1/12/19,33,7.416666667,74.12
1/13/19,32,9.133333333,75.08
1/14/19,40,5.083333333,69.97
1/15/19,56,5.833333333,64.24
1/16/19,57,6.7,64.7
1/17/19,35,6.666666667,73.69
1/18/19,37,4.65,69.85
1/19/19,31,9.933333333,74.54
1/20/19,26,6.233333333,80.43
1/21/19,33,6.283333333,75.11
1/22/19,49,7.816666667,68.81
1/23/19,27,7.1,75.2
1/24/19,27,7.1,75.19
1/25/19,42,6.533333333,67.42
1/26/19,34,7.416666667,75.03
1/27/19,23,6.216666667,82.86
1/28/19,63,9,65.6
1/29/19,63,9,65.64
1/30/19,,,
1/31/19,39,4.733333333,71.8
2/1/19,39,4.733333333,71.83
2/2/19,41,9.8,73.85
2/3/19,39,5.916666667,75.19
2/4/19,62,3.466666667,63.12
2/5/19,38,6.2,71.32
2/6/19,60,4.483333333,61.87
2/7/19,28,6.283333333,75.64
2/8/19,54,5.45,63.35
2/9/19,16,6.1,96.84
2/10/19,51,6.3,75.55
2/11/19,36,5.8,75.85
2/12/19,33,6.25,76.31
2/13/19,52,5.083333333,71.74
2/14/19,44,6.2,68.94
2/15/19,73,5.766666667,64.09
2/16/19,27,6.033333333,83.68
2/17/19,48,8.666666667,73.64
2/18/19,41,6.666666667,73.77
2/19/19,46,4.85,68.48
2/20/19,42,4.316666667,69.5
2/21/19,42,7.45,74.33
2/22/19,44,5.7,71.83
2/23/19,15,6.033333333,91.02
2/24/19,37,10.03333333,77.11
2/25/19,48,6.866666667,72.13
2/26/19,0.001,3.866666667,70.93
2/27/19,39,6.716666667,72.34
2/28/19,43,5.05,69.88
3/1/19,47,4.65,66.38
3/2/19,24,5.983333333,84.61
3/3/19,34,8.883333333,77.73
3/4/19,41,5.416666667,77.64
3/5/19,38,3.7,73.52
3/6/19,51,5,67.12
3/7/19,54,6.4,65.32
3/8/19,33,5.316666667,75.22
3/9/19,34,7.716666667,76.09
3/10/19,18,3.4,83.29
3/11/19,49,8.433333333,71.03
3/12/19,55,5.316666667,69.77
3/13/19,47,5.466666667,66.5
3/14/19,50,6.033333333,68.87
3/15/19,45,5.45,73.97
3/16/19,54,8.966666667,64.61
3/17/19,53,8.4,70.62
3/18/19,67,6.666666667,65.51
3/19/19,51,3.966666667,70.18
3/20/19,41,4.433333333,70.72
